name,party,state,district,legislature,profile_link
120 Moreno Rivera Julio Cesar,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=453
121 Murguía Lardizábal Daniel,MORENA,Chihuahua,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=29
122 Muñoz Álvarez Rubén Gregorio,MORENA,Baja California Sur,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=326
123 Narro Panameño Blanca Araceli,MORENA,Tamaulipas,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=371
124 Navarrete Rivera Alma Delia,MORENA,México,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=135
125 Navarro Conkle Sandra Luz,MORENA,Sonora,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=327
126 Noriega Romero Carlos ,MORENA,Coahuila,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=372
127 Obrador Narváez Manuela del Carmen,MORENA,Chiapas,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=16
128 Ochoa Fernández Cuauhtémoc,MORENA,Hidalgo,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=103
129 Olua González Yessenia Leticia,MORENA,Baja California,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=4
130 Ortega Fonseca Pedro David,MORENA,Guanajuato,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=84
131 Ortiz Tejeda Carlos Francisco,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=459
132 Pacheco Marrufo Rommel Aghmed,MORENA,Yucatán,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=294
133 Palos García Claudia Lizeth,MORENA,Zacatecas,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=797
134 Pani Barragán Alejandra,MORENA,Morelos,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=180
135 Parra Juárez Inés,MORENA,Puebla,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=212
136 Pazos Olivera Sandra,MORENA,México,Dtto. 17,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=642
137 Pérez Barcenas Lidia,MORENA,Ciudad de México,Dtto. 11,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=48
138 Pérez Bernabe Jaime Humberto,MORENA,Veracruz,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=277
139 Pérez Garibay Marco Antonio,MORENA,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=330
140 Pérez Gutiérrez Blanca Carolina,MORENA,Chiapas,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=408
141 Pérez López Beatriz Dominga,MORENA,Oaxaca,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=204
142 Pérez Navarrete Miguel Ángel,MORENA,Hidalgo,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=605
